Test Virus,Reference Virus,Titre
A/Barcelona/134/2006,A/Wisconsin/67/2005,320
A/Parma/4/07,A/Wisconsin/67/2005,320
A/Sofia/319/07,A/Wisconsin/67/2005,640
A/Stockholm/25/06,A/Wisconsin/67/2005,80
A/Switzerland/7567/2007,A/Wisconsin/67/2005,320
A/Latvia/345/2007,A/Wisconsin/67/2005,80
A/Bratislava/46/07,A/Wisconsin/67/2005,640
A/Denmark/1/2007,A/Wisconsin/67/2005,640
A/Berlin/4/07,A/Wisconsin/67/2005,640
A/Finland/800/07,A/Wisconsin/67/2005,320
A/Thessaloniki/26/07,A/Wisconsin/67/2005,320
A/Lisbon/14/2007,A/Wisconsin/67/2005,640
A/Lyon/323/2007,A/Wisconsin/67/2005,320
A/Serres/77/07,A/Wisconsin/67/2005,640
A/Valladolid/8/2007,A/Wisconsin/67/2005,1280
A/Trieste/29c/2007,A/Wisconsin/67/2005,640
A/California/7/2004,A/Slovakia/134/2006,80
A/Hong Kong/4443/2005,A/Slovakia/134/2006,80
A/Hiroshima/52/2005,A/Slovakia/134/2006,320
A/Wisconsin/67/2005,A/Slovakia/134/2006,320
A/Slovakia/134/2006,A/Slovakia/134/2006,320
A/Berlin/2/2006,A/Slovakia/134/2006,80
A/Lyon/636/2006,A/Slovakia/134/2006,160
A/Norway/2253/2006,A/Slovakia/134/2006,320
A/Switzerland/6936/2006,A/Slovakia/134/2006,80
A/Egypt/99/2006,A/Slovakia/134/2006,320
A/Belgium/SP009/07,A/Slovakia/134/2006,160
A/Israel/73/2006,A/Slovakia/134/2006,80
A/Netherlands/363/2006,A/Slovakia/134/2006,160
A/Barcelona/134/2006,A/Slovakia/134/2006,80
A/Parma/4/07,A/Slovakia/134/2006,40
A/Sofia/319/07,A/Slovakia/134/2006,160
A/Stockholm/25/06,A/Slovakia/134/2006,40
A/Switzerland/7567/2007,A/Slovakia/134/2006,80
A/Latvia/345/2007,A/Slovakia/134/2006,20
A/Bratislava/46/07,A/Slovakia/134/2006,160
A/Denmark/1/2007,A/Slovakia/134/2006,320
A/Berlin/4/07,A/Slovakia/134/2006,160
A/Finland/800/07,A/Slovakia/134/2006,80
A/Thessaloniki/26/07,A/Slovakia/134/2006,40
A/Lisbon/14/2007,A/Slovakia/134/2006,160
A/Lyon/323/2007,A/Slovakia/134/2006,80
A/Serres/77/07,A/Slovakia/134/2006,80
A/Valladolid/8/2007,A/Slovakia/134/2006,160
A/Trieste/29c/2007,A/Slovakia/134/2006,320
A/California/7/2004,A/Berlin/2/2006,640
A/Hong Kong/4443/2005,A/Berlin/2/2006,80
A/Hiroshima/52/2005,A/Berlin/2/2006,80
A/Wisconsin/67/2005,A/Berlin/2/2006,80
A/Slovakia/134/2006,A/Berlin/2/2006,80
A/Berlin/2/2006,A/Berlin/2/2006,160
A/Lyon/636/2006,A/Berlin/2/2006,640
A/Norway/2253/2006,A/Berlin/2/2006,80
A/Switzerland/6936/2006,A/Berlin/2/2006,80
A/Egypt/99/2006,A/Berlin/2/2006,40
A/Belgium/SP009/07,A/Berlin/2/2006,40
A/Israel/73/2006,A/Berlin/2/2006,40
A/Netherlands/363/2006,A/Berlin/2/2006,20
A/Barcelona/134/2006,A/Berlin/2/2006,80
A/Parma/4/07,A/Berlin/2/2006,20
A/Sofia/319/07,A/Berlin/2/2006,40
A/Stockholm/25/06,A/Berlin/2/2006,20
A/Switzerland/7567/2007,A/Berlin/2/2006,20
A/Latvia/345/2007,A/Berlin/2/2006,10
A/Bratislava/46/07,A/Berlin/2/2006,20
A/Denmark/1/2007,A/Berlin/2/2006,40
A/Berlin/4/07,A/Berlin/2/2006,80
A/Finland/800/07,A/Berlin/2/2006,20
A/Thessaloniki/26/07,A/Berlin/2/2006,20
A/Lisbon/14/2007,A/Berlin/2/2006,40
A/Lyon/323/2007,A/Berlin/2/2006,40
A/Serres/77/07,A/Berlin/2/2006,40
A/Valladolid/8/2007,A/Berlin/2/2006,40
A/Trieste/29c/2007,A/Berlin/2/2006,80
A/California/7/2004,A/Lyon/636/2006,1280
A/Hong Kong/4443/2005,A/Lyon/636/2006,160
A/Hiroshima/52/2005,A/Lyon/636/2006,640
A/Wisconsin/67/2005,A/Lyon/636/2006,640
A/Slovakia/134/2006,A/Lyon/636/2006,1280
A/Berlin/2/2006,A/Lyon/636/2006,320
A/Lyon/636/2006,A/Lyon/636/2006,640
A/Norway/2253/2006,A/Lyon/636/2006,80
A/Switzerland/6936/2006,A/Lyon/636/2006,160
A/Egypt/99/2006,A/Lyon/636/2006,640
A/Belgium/SP009/07,A/Lyon/636/2006,160
A/Israel/73/2006,A/Lyon/636/2006,<40
A/Netherlands/363/2006,A/Lyon/636/2006,320
A/Barcelona/134/2006,A/Lyon/636/2006,80
A/Parma/4/07,A/Lyon/636/2006,20
A/Sofia/319/07,A/Lyon/636/2006,640
A/Stockholm/25/06,A/Lyon/636/2006,<40
A/Switzerland/7567/2007,A/Lyon/636/2006,320
A/Latvia/345/2007,A/Lyon/636/2006,<40
A/Bratislava/46/07,A/Lyon/636/2006,640
A/Denmark/1/2007,A/Lyon/636/2006,320
A/Berlin/4/07,A/Lyon/636/2006,320
A/Finland/800/07,A/Lyon/636/2006,20
A/Thessaloniki/26/07,A/Lyon/636/2006,40
A/Lisbon/14/2007,A/Lyon/636/2006,640
A/Lyon/323/2007,A/Lyon/636/2006,40
A/Serres/77/07,A/Lyon/636/2006,160
A/Valladolid/8/2007,A/Lyon/636/2006,640
A/Trieste/29c/2007,A/Lyon/636/2006,160
