main_matrix_name,aux_matrix_name,rmse
OVEJ920104.csv,GEOD900101.csv,0.8283
OVEJ920104.csv,GIAG010101.csv,0.8283
LUTR910102.csv,KOSJ950101.csv,0.8301
LUTR910102.csv,KOSJ950113.csv,0.8305
LUTR910102.csv,MOHR870101.csv,0.8312
LUTR910102.csv,NAOD960101.csv,0.8293
LUTR910102.csv,RUSR970103.csv,0.8303
LUTR910102.csv,PRLA000101.csv,0.8296
LUTR910102.csv,BENS940102.csv,0.8284
LUTR910102.csv,LEVJ860101.csv,0.8297
LUTR910102.csv,QU_C930101.csv,0.8311
LUTR910102.csv,VOGG950101.csv,0.8297
LUTR910102.csv,LUTR910106.csv,0.8279
LUTR910102.csv,HENS920101.csv,0.8292
LUTR910102.csv,KOSJ950102.csv,0.8305
LUTR910102.csv,FEND850101.csv,0.8281
LUTR910102.csv,MCLA710101.csv,0.8285
LUTR910102.csv,QU_C930103.csv,0.8289
LUTR910102.csv,JOHM930101.csv,0.8288
LUTR910102.csv,MUET020101.csv,0.8297
LUTR910102.csv,LUTR910105.csv,0.8283
LUTR910102.csv,OVEJ920105.csv,0.8294
LUTR910102.csv,LUTR910104.csv,0.8277
LUTR910102.csv,BENS940104.csv,0.8305
LUTR910102.csv,HENS920103.csv,0.8288
LUTR910102.csv,BENS940101.csv,0.8283
LUTR910102.csv,RUSR970102.csv,0.8301
LUTR910102.csv,JOND940101.csv,0.8300
LUTR910102.csv,FITW660101.csv,0.8297
LUTR910102.csv,PRLA000102.csv,0.8285
LUTR910102.csv,CROG050101.csv,0.8297
LUTR910102.csv,MCLA720101.csv,0.8295
LUTR910102.csv,DOSZ010102.csv,0.8300
LUTR910102.csv,NGPC000101.csv,0.8278
LUTR910102.csv,DOSZ010101.csv,0.8316
LUTR910102.csv,QU_C930102.csv,0.8298
LUTR910102.csv,GRAR740104.csv,0.8303
LUTR910102.csv,CSEM940101.csv,0.8299
LUTR910102.csv,WEIL970101.csv,0.8301
LUTR910102.csv,GONG920101.csv,0.8293
LUTR910102.csv,NIEK910101.csv,0.8302
LUTR910102.csv,JOND920103.csv,0.8289
LUTR910102.csv,KOSJ950109.csv,0.8293
LUTR910102.csv,DOSZ010104.csv,0.8279
LUTR910102.csv,AZAE970102.csv,0.8292
LUTR910102.csv,LUTR910103.csv,0.8300
LUTR910102.csv,KOSJ950108.csv,0.8314
LUTR910102.csv,KOSJ950105.csv,0.8290
LUTR910102.csv,RUSR970101.csv,0.8321
LUTR910102.csv,NIEK910102.csv,0.8298
