Test Virus,Reference Virus,Distance
A/Almaty/2958/2013,A/Baden-Wurttemberg/14/2014,1.9999999999999991
A/Athens/112/2012,A/Baden-Wurttemberg/14/2014,0.0
A/Alabama/5/2010,A/Baden-Wurttemberg/2/2012,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/28/2006,0.0
A/Albania/289813/2022,A/Baden-Wurttemberg/28/2024,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/31/2006,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/34/2006,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/35/2006,0.0
A/Albania/289813/2022,A/Baden-Wurttemberg/37/2023,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/44/2006,0.0
A/Albania/289813/2022,A/Baden-Wurttemberg/55/2024,0.0
A/Almaty/2958/2013,A/Baden-Wurttemberg/7/2014,0.9999999999999991
A/Athens/112/2012,A/Baden-Wurttemberg/7/2014,0.0
A/Baden-Wurttemburg/38/2005,A/Baden-Wurttemburg/38/2005,0.0
A/Almaty/2958/2013,A/Baden-Württemberg/1/2014,1.0
A/Athens/112/2012,A/Baden-Württemberg/1/2014,0.0
A/Alabama/5/2010,A/Baden-Württemberg/3/2012,0.0
A/Almaty/2958/2013,A/Baleares/14037/2013,2.0
A/Athens/112/2012,A/Baleares/14037/2013,0.0
A/Almaty/2958/2013,A/Baleares/14038/2013,2.0
A/Athens/112/2012,A/Baleares/14038/2013,0.0
A/Almaty/2958/2013,A/Baleares/1441/2013,1.0
A/Athens/112/2012,A/Baleares/1441/2013,0.0
A/Almaty/2958/2013,A/Baleares/1498/2013,1.0
A/Athens/112/2012,A/Baleares/1498/2013,0.0
A/Almaty/2958/2013,A/Baleares/1520/2013,1.0
A/Athens/112/2012,A/Baleares/1520/2013,0.0
A/Almaty/2958/2013,A/Baleares/1521/2013,1.0
A/Athens/112/2012,A/Baleares/1521/2013,0.0
A/Almaty/2958/2013,A/Baleares/1582/2013,1.0
A/Athens/112/2012,A/Baleares/1582/2013,0.0
A/Alabama/5/2010,A/Baleares/RR6848/2010,0.0
A/Akkar.LBN/6574/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Akkar.LBN/6728/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Akkar.LBN/7377/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Alaska/01/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Albania/31/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Albania/622/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Albania/78/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Albania/8322/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Albania/8441/2021,A/Bangladesh/4005/2020,3.015693807105145
A/Albania/8614/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Albania/862/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Albania/890/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Albania/9725/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Albania/9833/2021,A/Bangladesh/4005/2020,2.015693807105145
